Toyota RAV4,$ 31 000,2 729 860 сом,https://im.mashina.kg/tachka/images//1/6/4/1640d7d1ddc24d936eb5f8d1e76f2b35_240x180.jpg,"2020г.,2.5л.,автоматвнедорожник5дв.,бензинрульслева,3000км"
BMW 3 серии,$ 45 000,3 962 700 сом,https://im.mashina.kg/tachka/images//9/e/f/9efc1ddd7d016a729eca6293d3d3168f_240x180.jpg,"2021г.,2л.,автоматседан,дизельрульслева,40000км"
BMW 5 серии,$ 37 000,3 258 220 сом,https://im.mashina.kg/tachka/images//2/f/a/2fa021326f99cab7e057b723c69c5f8b_240x180.jpg,"2017г.,2л.,автоматседан,дизельрульслева,127000км"
Geely Monjaro,$ 36 500,3 214 190 сом,https://im.mashina.kg/tachka/images//0/6/1/06168f108d29e6609a5c99db6d5a4050_240x180.jpg,"2023г.,2л.,автоматвнедорожник5дв.,бензинрульслева,15км"
Mercedes-Benz G-класс AMG,$ 200 000,17 612 000 сом,https://im.mashina.kg/tachka/images//f/a/8/fa87505a4f8118f3cab8efb6d8f42b83_240x180.jpg,"2020г.,4л.,автоматвнедорожник5дв.,бензинрульслева,27000км"
Mercedes-Benz S-класс,$ 160 000,14 089 600 сом,https://im.mashina.kg/tachka/images//7/c/1/7c1f1e2c57638818814753c5bf78668b_240x180.jpg,"2022г.,3л.,автоматседан,бензинрульслева,8000км"
Kia Carnival,$ 25 900,2 280 754 сом,https://im.mashina.kg/tachka/images//a/a/1/aa11f027705ad9d83d2aa0472f9be9e7_240x180.jpg,"2018г.,2.2л.,автоматминивэн,дизельрульслева,134500км"
Mercedes-Benz S-класс,$ 150 000,13 209 000 сом,https://im.mashina.kg/tachka/images//e/3/d/e3ded10bef913bf98a6c7921df0649ee_240x180.jpg,"2021г.,2.9л.,автоматседан,дизельрульслева,40000км"
Land Rover Range Rover Sport,$ 52 000,4 579 120 сом,https://im.mashina.kg/tachka/images//a/e/7/ae77e4c57161c62e9ef53450781d796e_240x180.jpg,"2015г.,4.4л.,автоматвнедорожник5дв.,дизельрульслева,120000км"
Zeekr 001,$ 73 000,6 428 380 сом,https://im.mashina.kg/tachka/images//b/5/1/b51c3855acff4b529ae64bb912b2f4a9_240x180.jpg,"2023г.,автоматлифтбек,электрорульслева,30км"
Toyota Highlander,$ 35 500,3 126 130 сом,https://im.mashina.kg/tachka/images//9/c/f/9cf0cf03fe575b5f77985b784fdee33c_240x180.jpg,"2018г.,3.5л.,автоматвнедорожник5дв.,бензинрульслева,78000км"
Hyundai Santa Fe,$ 34 500,3 038 070 сом,https://im.mashina.kg/tachka/images//8/8/0/8805e9d38d6b937e07973183bdba9223_240x180.jpg,"2018г.,2.2л.,автоматвнедорожник5дв.,дизельрульслева,102000км"
Hyundai Santa Fe,$ 32 000,2 817 920 сом,https://im.mashina.kg/tachka/images//c/2/1/c216d8e4bb1c1127360db59512907858_240x180.jpg,"2018г.,2.2л.,автоматвнедорожник5дв.,дизельрульслева,107000км"
Geely Monjaro,$ 36 500,3 214 190 сом,https://im.mashina.kg/tachka/images//6/f/8/6f816e4ef2fa700af2070bb02ee8fd8c_240x180.jpg,"2023г.,2л.,автоматвнедорожник5дв.,бензинрульслева"
Kia Carnival,$ 39 000,3 434 340 сом,https://im.mashina.kg/tachka/images//6/2/0/6208abbc00be2c5fd9ec2a32a4b9bc1e_240x180.jpg,"2020г.,2.2л.,автоматминивэн,дизельрульслева,44000км"
Geely Emgrand 7,$ 18 000,1 566 000 сом,https://im.mashina.kg/tachka/images//f/1/1/f11c8e91ab34309eabc8a8b672ad5403_240x180.jpg,"2023г.,1.5л.,вариаторседан,бензинрульслева,40км"
Infiniti FX,$ 16 500,1 452 990 сом,https://im.mashina.kg/tachka/images//6/5/a/65a9c60642b32813509dece1d29af5e5_240x180.jpg,"2009г.,3.5л.,автоматвнедорожник5дв.,бензинрульслева,113000км"
BMW 4 Серии,$ 24 000,2 113 440 сом,https://im.mashina.kg/tachka/images//3/5/6/356e5674273889606a78bc0032881884_240x180.jpg,"2018г.,2л.,автоматлифтбек,дизельрульслева,189000км"
Toyota Corolla,$ 14 950,1 316 497 сом,https://im.mashina.kg/tachka/images//2/d/9/2d9c38d682d4aa97024f5eef982b2ef6_240x180.jpg,"2016г.,1.8л.,вариаторхэтчбек5дв.,бензинрульслева,120000км"
BMW 6 серии,$ 40 000,3 522 400 сом,https://im.mashina.kg/tachka/images//a/d/5/ad5067e5ba13ab08acd85e0f9e16f09b_240x180.jpg,"2016г.,3л.,автоматседан,дизельрульслева,107000км"
Toyota Land Cruiser,$ 39 000,3 434 340 сом,https://im.mashina.kg/tachka/images//3/0/8/308e91ae36dc3ee24785baccf10bb460_240x180.jpg,"2011г.,4.7л.,автоматвнедорожник5дв.,бензинрульслева,200000км"
LiXiang L9,$ 80 000,7 044 800 сом,https://im.mashina.kg/tachka/images//b/c/e/bce935f2f07f96faad31b2a394928305_240x180.jpg,"2023г.,1.5л.,автоматвнедорожник5дв.,гибридрульслева,5км"
Land Rover Range Rover,$ 22 000,1 937 320 сом,https://im.mashina.kg/tachka/images//8/d/4/8d4542da6440cb4ffecb9e8c685a9394_240x180.jpg,"2010г.,5л.,автоматвнедорожник5дв.,бензинрульслева,193000км"
Toyota Camry,$ 21 400,1 884 484 сом,https://im.mashina.kg/tachka/images//c/c/b/ccb54de0f41315f77316842d6edfb20b_240x180.jpg,"2018г.,2.5л.,автоматседан,бензинрульслева,250000км"
Toyota Camry,$ 23 000,2 025 380 сом,https://im.mashina.kg/tachka/images//f/0/9/f095f7ae9fe3b26e773b3e10503e29e3_240x180.jpg,"2020г.,2.5л.,автоматседан,бензинрульслева,96560км"
Kia Sportage,$ 25 700,2 263 142 сом,https://im.mashina.kg/tachka/images//c/8/3/c83915490f4c5a09347456628b061eb3_240x180.jpg,"2020г.,2.4л.,автоматвнедорожник5дв.,бензинрульслева,14200км"
Lexus ES,$ 16 500,1 452 990 сом,https://im.mashina.kg/tachka/images//f/1/c/f1c0fbf06f7325ae3e93b693b8eff44c_240x180.jpg,"2010г.,3.5л.,автоматседан,бензинрульслева,162000км"
Lexus GX,$ 25 500,2 245 530 сом,https://im.mashina.kg/tachka/images//4/8/3/4833a01b317daa890c74498bd44404fd_240x180.jpg,"2006г.,4.7л.,автоматвнедорожник5дв.,бензинрульслева,225000км"
